ALLOT_NAME,ALLOT_NO,PAST_NAME,PAST_NO,herb,upland,water,woody
Muleshoe,00360,Lower Cow Creek,08,0.003670287,0.053564346,0.2639525032362037,0.6788128634905143
Muleshoe,00360,Upper Pattee,14,0.007369401,0.1320347707710838,0.32622925755490867,0.5343665707950558
Muleshoe,00360,Rattlesnake,02,1.3347941040835808E-4,0.2035922188308565,0.2366537601673362,0.559620542
Muleshoe,00360,Tendoy Spring,01,0.005103765,0.1395171749768083,0.017012940890840947,0.8383661191054368
Muleshoe,00360,Great White Sharkey,05,0.009190764,0.152418022,0.057161237658822486,0.7812299760540011
Muleshoe,00360,Sharkey Flats,06,0.002119712,0.20350205863535403,0.0350255,0.7593527295007957
Muleshoe,00360,Buffalo Basin,17,0.002842349,0.29593402699301663,0.050000139513210556,0.6512234843517327
Muleshoe,00360,Agency Riparian,16,0.01282249,0.15801978680459977,0.024865002722769067,0.8042927200790992
Muleshoe,00360,Lower Warm Springs,11,0.026202933444041364,0.096795808,0.015884942270850556,0.8611163159798836
Muleshoe,00360,Lower Pattee,12,0.020820648,0.081855143,0.035074424,0.8622497852134323
Muleshoe,00360,Copper Queen,04,0.001325906,0.074149346,0.21269694,0.7118278078370908
Muleshoe,00360,Middle Warm Springs,15,0.005855238,0.089556345,0.22596866890277328,0.6786197484864586
Muleshoe,00360,Middle Pattee,13,0.002922274,0.16800418783991616,0.057259784,0.7718137544073597
Muleshoe,00360,Gould Basin,03,0.006217848,0.15783462877932003,0.070385357,0.7655621668898316
Muleshoe,00360,Railroad Tanker,10,5.136743194306939E-4,0.09315341,0.28047544983260897,0.6258574661930182
Muleshoe,00360,Pattee Riparian,09,0.003069957,0.097575131,0.18848578838743577,0.7108691235153686
Muleshoe,00360,Upper Cow Creek,07,0.006364133,0.14755173446817096,0.033135937,0.8129481953352437
Muleshoe,00360,Lewis and Clark,18,0.006405604,0.057846237,0.016071964541615694,0.9196761944884959
Two Dot,00431,Deer Park,03,0.001633985,0.017117260556907942,0.016406270371576062,0.9648424842188347
Two Dot,00431,State Section,01,,,,
Two Dot,00431,Lee Creek,04,0.00138198,0.045452318370084635,0.021222986633763145,0.9319427154134395
Two Dot,00431,Leadore Hill East,02,0.2947482639389194,0.1296759724074546,0.011367151222994662,0.5642086124306314
Tower Creek,06101,Tower Creek,01,0.007113142,0.32708573468673074,0.058455874342135915,0.607345249
Badger Springs,06102,Lower,02,0.002913432,0.39665999926664275,0.005278025,0.5951485444260918
Badger Springs,06102,East,04,0.019974887281204837,0.085775058,0.059156292,0.8350937627769446
Badger Springs,06102,Goldstar,03,0.005701048,0.322559714,0.011714657588103744,0.6600245797489893
Badger Springs,06102,Upper,01,0.018860428357374035,0.33808748970547325,0.028455445018484744,0.6145966369186678
Diamond Moose,06103,Bob Moore Creek,01,0.019636885323605253,0.086565938,0.022226740566047207,0.8715704360029528
Diamond Moose,06103,Bird Creek,03,0.007043627,0.14376181466530782,0.050695246,0.7984993121183522
Diamond Moose,06103,Deriar Creek,02,0.012218686745689208,0.1253206382222718,0.018991514190923695,0.8434691608411152
Diamond Creek,06104,Diamond Creek,01,0.008069075,0.36906176386571576,0.015368915432670643,0.6075002460083757
Freeman Creek,06105,Big Draw/Deer Spring,01,0.011498497128764662,0.044109171,0.020046811,0.924345521
Freeman Creek,06105,Basin,03,0.004340408,0.04113157,0.091340301,0.8631877213615702
Freeman Creek,06105,Short Canyon,04,0.007834682,0.045761197,0.045018117,0.9013860045055206
Freeman Creek,06105,Middle Ridge,02,0.001468011,0.029123659541130456,0.12239493773265792,0.8470133920274193
South Carmen Creek,06106,South Cottonwood,08,0.006623049,0.29702399821431125,0.008433949,0.6879190039677113
South Carmen Creek,06106,Pond Basin,06,0.026349191,0.20883813204119298,0.042147724,0.7226649520182264
South Carmen Creek,06106,Barrel Spring,05,0.024322202667815016,0.1274709747441214,0.11797679848814115,0.7302300240999224
South Carmen Creek,06106,North Cottonwood,04,0.005012574,0.3218488891805551,0.024407559056594485,0.6487309775539242
South Carmen Creek,06106,Broad Gulch,02,0.05827362,0.13103833366766107,0.009347535,0.8013405109621068
South Carmen Creek,06106,North Shearing Pen,07,0.004047015,0.23880877555449015,0.022988269481125596,0.7341559399582244
South Carmen Creek,06106,Shearing Pen,03,0.002857289,0.31679834365408205,0.027299922264175346,0.6530444453612732
South Carmen Creek,06106,Seeding,01,,0.5746353035841872,,0.4253646964158127
Fenster Creek,06108,Fenster Creek,01,0.010940314923390126,0.18695257118844893,0.003276634,0.7988304800768904
Kirtley Creek,06109,Upper Kirtley Creek,02,0.003499414,0.028438961573737827,0.15866550723817555,0.8093961167968288
Kirtley Creek,06109,Lower,01,0.00630294,0.18182232885412153,0.024145967156725776,0.7877287639976076
Geertson Creek,06110,Geertson Creek (B),02,3.724623265311489E-4,0.48604434784767886,0.001552657,0.5120305331469561
Geertson Creek,06110,Gary Creek (E),05,0.013023890950872741,0.033688037,0.16030211653634596,0.7929859555208417
Geertson Creek,06110,Seeding (A),01,,,,
