Allotment,Pasture,Treatment,Start
Badger Springs,East,Exclosure,2006
Badger Springs,Goldstar,Early.Late.Roatation,2004
Badger Springs,Lower,Early.Late.Roatation,2010
Badger Springs,Upper,Summer,2004
Baker Creek,High Range,Late,2006
Baker Creek,Low Range,Early ,2006
Baker Creek,Middle range,Summer,2006
Baker Creek,New Seeding,NA,NA
Baldy Basin,Baldy Basin,Summer,2004
Baldy Basin,Baldy Seding,Early,2004
Baldy Basin,Cherry Spring,Summer,2004
Baldy Basin,Lower Cherry Spring,Early,2004
Baldy Basin,Maybe Seeding,Early,2004
Baldy Basin,McDevitt,Summer,2004
Baldy Basin,South Baldy,Summer,2004
Big Dry Canyon,Lower,NA,NA
Big Dry Canyon,Middle (Turner),NA,NA
Big Spring,Big Springs,NA,NA
Bohannon Creek,Middle,Late,2004
Bohannon Creek,North,Late,2005
Bohannon Creek,South  ,Late,2005
Boundary,Boundary,NA,NA
Bull Creek,Bull Creek,Early,2007
Bull Creek,Ellsworth,Early,2006
Cabin Creek,Ezra/Ringle,NA,NA
Cabin Creek,Nipple Peak,NA,NA
Cabin Creek,Shep Creek,NA,NA
Camp Creek,Camp Creek,NA,NA
Cedar Gulch,Cedar Gulch,NA,NA
Cedar Gulch,Lower,NA,NA
Cedar Gulch ,Middle,NA,NA
Center Ridge,A,Early,2004
Center Ridge,B,Summer,2004
Center Ridge,C,Late,2005
Center Ridge,D,Summer,2004
Center Ridge,E,Early,2004
Chamberlain Creek,Big Bend,NA,NA
Chamberlain Creek,NO. 18 Mile,NA,NA
Chamberlain Creek,SO. 18 Mile,Summer,2004
Chipps Creek,Chipps Creek,Early,2004
Coal Kiln,Coal Kiln,Continuous,2004
Cottonwood,Jump Creek,Summer,2004
Cottonwood,North Side,Late,2004
Cottonwood,SE Flat,NA,NA
Cottonwood,WSA (Shears Creek),Summer,2004
County Road,County Road,NA,NA
Diamond Creek,Diamond Creek,Early,2008
Diamond Moose,Bird Creek Unit,Continuous,2014
Diamond Moose,Bob Moore Unit,NA,NA
Diamond Moose,Deriar Unit,Continuous,2008
Dummy Creek,Dummy Creek,NA,NA
Dump,Dump,NA,NA
East Fork Wimpey Creek,East Fork Wimpey Creek,NA,NA
Everson Creek,Everson Creek,Summer,2008
Fenced Pasture,Fenced Pasture,Exclosure,2014
Fenster Creek,Fenster Creek,Early,2004
Findley Basin,Findley Basin,Exclosure,2012
Freeman Creek,Basin,NA,NA
Freeman Creek,Big Draw/Deer Spring,NA,NA
Freeman Creek,Middle Ridge,NA,NA
Freeman Creek,Short Canyon,Exclosure,2006
Freestrip,Bell Field,NA,NA
Freestrip,Freestrip,NA,NA
Geertson Creek,Bolton,Late,2005
Geertson Creek,Gary Creek,Late,2005
Geertson Creek,Geertson Creek,Summer,2005
Geertson Creek,Kirtley Creek,Summer,2006
Geertson Creek,Seeding,Early,2004
Grouse Creek,Airstrip,NA,NA
Grouse Creek,Bull Creek,NA,NA
Grouse Creek,Grouse Creek,Summer.Late.Rotation,2010
Grouse Creek,Lower Reservoir,Early,2009
Grouse Creek,Poison Gulch,NA,NA
Grouse Creek,Trail Creek,Summer.Late.Rotation,2009
Grouse Creek,Upper Reservoir,Summer,2005
Hawley Creek,Eighteenmile,NA,NA
Hawley Creek,Hawley Creek,NA,NA
Haynes Creek,Cheney Creek,NA,NA
Haynes Creek,Haynes Creek,Summer,2004
Haynes Creek,K Mountain,NA,NA
Haynes Creek,Kadletz Creek,Early,2004
Haynes Creek,Lower Grade Creek,NA,NA
Haynes Creek,Price Creek,Summer,2004
Haynes Creek,Upper Grade Creek,Summer,2006
Haynes Creek,Withington Creek,Early,2005
Henry Creek,Henry Creek,Early,2006
Hot Springs,Clark Spring,Rest.Rotation,2008
Hot Springs,Hot Springs,NA,NA
Hot Springs,Reservoir,Early,2004
Hot Springs,Seven Mile,Summer,2004
Indian Head,Indian Head,Continuous,2004
Iron/Lime Creek,Deer Creek,NA,NA
Iron/Lime Creek,Iron Creek,Continuous,2006
Iron/Lime Creek,Lime Creek,NA,NA
Iron/Lime Creek,Lower Cabin Creek,Rest.Rotation,2006
Iron/Lime Creek,Lower Iron Creek,NA,NA
Iron/Lime Creek,Slide Creek,NA,NA
Iron/Lime Creek,Twin Peaks,Exclosure,2011
Iron/Lime Creek,Upper Cabin Creek,Rest.Rotation,2006
Jakes Canyon,North,NA,NA
Jakes Canyon,South,Early,2006
Joe Moore,Joe Moore,Early,2004
Joe Moore,Upper Basco,Summer,2004
Kenney Creek,Kenney Creek,Continuous,2006
Kenney Creek,Kenney Creek Riparian,Exclosure,2004
Kirtley Creek,Lower,Continuous,2004
Kirtley Creek,Upper Kirtley,NA,NA
Lake Creek,Lake Creek,Continuous,2004
Leadore ,Middle,NA,NA
Leadore ,North,Early,2011
Leadore ,South,Summer,2011
Leadore Hill,Lower,Early,2007
Leadore Hill,Upper ,NA,NA
Leadville,Canyon Creek,Early,2005
Leadville,Lower,Early,2005
Leadville,Upper,Early,2005
Little Eightmile,Little Eightmile,NA,NA
Little Sawmill/South Hayden,Antone,NA,NA
Little Sawmill/South Hayden,Beds,NA,NA
Little Sawmill/South Hayden,Bergreen Gulch,NA,NA
Little Sawmill/South Hayden,Indian Caves,NA,NA
Little Sawmill/South Hayden,Mill Creek Flat,NA,NA
Little Sawmill/South Hayden,Straggle Gulch,NA,NA
Lower Basin,Baldy Basin/Spray,Summer,2004
Lower Basin,Grade Creek,Early,2004
Lower Basin,Lower Basin,Summer,2004
Lower Basin,Native,NA,NA
Lower Basin,Seeding,Early,2004
Lower Reese Creek,Lower Reese Creek,NA,NA
Mammoth/Sawmill,Mammoth/Sawmill,Continuous,2004
McDevitt Creek,Lower Muddy,Early,2005
McDevitt Creek,McDevitt Riparian,Exclosure,2004
McDevitt Creek,Middle Muddy,Early,2005
McDevitt Creek,North McDevitt,Early,2005
McDevitt Creek,Upper McDevitt,Late,2004
McDevitt Creek,Upper Muddy,Summer,2005
Milk Creek,Milk Creek,NA,NA
Mill Creek,Mill Creek,NA,NA
Mollie Gulch,Mollie Gulch,Early,2004
Muleshoe,Agency Riparian,NA,NA
Muleshoe,Copper Queen,Summer,2006
Muleshoe,Gould Basin/Buffalo Basin,NA,NA
Muleshoe,Great White Sharkey,Summer,2012
Muleshoe,Lower Cow Creek,Early,2004
Muleshoe,Lower Pattee,NA,NA
Muleshoe,Lower Warm Springs,Continuous,2004
Muleshoe,Middle Pattee,NA,NA
Muleshoe,Middle Warm Springs,NA,NA
Muleshoe,Rattlesnake,Early,2012
Muleshoe,Sharkey Flats,Late,2004
Muleshoe,Tendoy Spring,Early,2004
Muleshoe,Upper Cow Creek,Late,2012
Muleshoe,Upper Pattee,NA,NA
Napo Canyon,East Side,Summer,2004
Napo Canyon,Little Dry,Summer,2005
Napo Canyon,Napo Canyon,Summer,2004
Napo Canyon,Napo Flats,Early,2004
NEF 3,NEF 3,NA,NA
Nez Perce,Gilmore,Summer,2004
Nez Perce,Lower Riparian,NA,NA
Nez Perce,Negro Green,NA,NA
Nez Perce,Nez Perce,Summer,2004
Nez Perce,Queenie,Continuous,2004
Perreau Creek,Perreau Creek,Early,2004
Poison Creek,Big Hill,NA,NA
Poison Creek,Poison Creek,NA,NA
Poison Creek,South Fork Poison,Early,2013
Powderhorn,10 Mile,NA,NA
Powderhorn,18 Mile Flat,NA,NA
Powderhorn,Carltons Field,Early,2008
Powderhorn,Center Field,Summer,2007
Powderhorn,Clear Creek,NA,NA
Powderhorn,Powderhorn,NA,NA
Powderhorn,Steer,NA,NA
Powderhorn,Winter Range,NA,NA
Pratt Creek,Lower,Early,2005
Pratt Creek,Middle,Early,2004
Pratt Creek,North Turnout,Early,2004
Pratt Creek,Pratt Creek,Early,2008
Pratt Creek,W. Sandy,Summer,2004
Pritchard Gulch,Pritchard Gulch,Early,2006
Pritchard Gulch,Middle Pritchard,Summer,2006
Pritchard Gulch,Upper Pritchard,Summer,2004
Pronghorn,Pronghorn,Summer,2008
Purcell Creek,Purcell Creek,NA,NA
Rattlesnake,Cliff,Early,2004
Rattlesnake,Powerline,Early,2004
Rattlesnake,Rattlesnake Draw,Summer,2004
Roostercomb,Meadow Creek,Early,2007
Roostercomb,Roostercomb,Early,2004
Ryegrass/North Hayden,Bear Creek/McNutt,NA,NA
Ryegrass/North Hayden,Ryegrass BLM,Early,2004
Sandy Creek,Sandy Creek,Continuous,2004
Second Creek,Second Creek,NA,NA
Smelter Gulch,North Smelter,NA,NA
Smelter Gulch,South Smelter,NA,NA
Smelter Gulch,State Section,Summer,2006
South Carmen Creek,Barrel Spring,NA,NA
South Carmen Creek,Broad Gulch,NA,NA
South Carmen Creek,North Cottonwood,NA,NA
South Carmen Creek,North Shearing Pen,NA,NA
South Carmen Creek,Pond Basin,Continuous,2008
South Carmen Creek,Seeding,Continuous,2004
South Carmen Creek,South Cottonwood,Continuous,2010
South Carmen Creek,South Shearing Pen,Early,2004
South Gulch,South Gulch,NA,NA
Spring Canyon,Coal Kiln,Early,2005
Spring Canyon,Gilmore,Summer,2004
Spring Canyon,Lemhi Union,Summer,2004
Spring Canyon,Shearing Corral,Summer,2004
Spring Canyon,Windmill,NA,NA
Ten Mile,Ten Mile,NA,NA
Tendoy Grave,Tendoy Grave,Early,2008
Tex Creek,Tex Creek,Continuous,2004
Timber Creek,Lower,Early,2004
Timber Creek,Upper,Early,2004
Tower Creek,Tower Creek,Continuous,2005
Turner,Turner,NA,NA
Two Dot,Leadore Hill East,Early,2004
Two Dot,Deer Park,Early,2004
Two Dot,Lee Creek,Early,2004
Two Dot,State Section,Early,2005
Walters,Ferry Creek,NA,NA
Walters,Walters,NA,NA
Williams Creek,Williams Creek,Early,2005
Wimpey Coal Mine,Coal Mine,Late,2006
Wimpey Coal Mine,England,Late,2014
Wimpey Coal Mine,Lower,NA,NA
Wimpey Coal Mine,McMurdie,Late,2011
Wimpey Coal Mine,Upper,NA,NA
Wimpey Creek,E. Side Wimpey Creek,NA,NA
Wimpey Creek,W. Side Wimpey Creek,NA,NA
Yearian Creek,Dump,Early,2005
Yearian Creek,Lower Reese,Early,2011
Yearian Creek,Peterson Creek,NA,NA
Yearian Creek,Ramsey MTN.,Rest.Rotation,NA
Yearian Creek,Reservoir,Late,2004
Yearian Creek,South Fork,NA,NA
Yearian Creek,Stone Quarry,Early,2004
Yearian Creek,Upper Reese,Summer,2004
Yearian Creek,Upper Yearian,Summer,2005
Muleshoe,Lower Cow Creek 02-K,Early,2004
Muleshoe,Lower Cow Creek 02-I,Early,2004
