MIM.siteName,PIBO.siteName,Year,Unique,Allotment,Pasture,GGW,bankfull.width,D50,percent.fines,covered.stable,stable,wetland.rating,GGW.MK,bankfull.width.MK,D50.MK,percent.fines.MK,covered.stable.MK,stable.MK,wetland.rating.MK
,091-01-I,2004,_091-01-I,Powderhorn,Clear Creek WSA,NA,5.17,11,NA,0.89,1,68,NA,0.734095216,0.734095216,NA,0.47010076,0.308179498,NA
,091-01-I,2009,_091-01-I,Powderhorn,Clear Creek WSA,NA,6.22,15,NA,0.53,0.93,74,NA,0.734095216,0.734095216,NA,0.47010076,0.308179498,NA
,091-01-I,2014,_091-01-I,Powderhorn,Clear Creek WSA,NA,7.15,16,NA,0.7,0.96,71,NA,0.734095216,0.734095216,NA,0.47010076,0.308179498,NA
,091-01-I,2019,_091-01-I,Powderhorn,Clear Creek WSA,NA,6.05,12,NA,0.53,0.87,NA,NA,0.734095216,0.734095216,NA,0.47010076,0.308179498,NA
,092-02-I,2004,_092-02-I,Muleshoe,Lower Cow Creek 02-I,NA,5.17,11,NA,0.89,1,68,NA,0.734095216,0.734095216,NA,0.47010076,0.308179498,NA
,092-02-I,2009,_092-02-I,Muleshoe,Lower Cow Creek 02-I,NA,6.22,15,NA,0.53,0.93,74,NA,0.734095216,0.734095216,NA,0.47010076,0.308179498,NA
,092-02-I,2014,_092-02-I,Muleshoe,Lower Cow Creek 02-I,NA,7.15,16,NA,0.7,0.96,71,NA,0.734095216,0.734095216,NA,0.47010076,0.308179498,NA
,092-02-I,2019,_092-02-I,Muleshoe,Lower Cow Creek 02-I,NA,6.05,12,NA,0.53,0.87,NA,NA,0.734095216,0.734095216,NA,0.47010076,0.308179498,NA
,092-03-I,2004,_092-03-I,Yearian Creek,Ramsey Mountain,NA,2.26,2,NA,0.46,0.93,67,NA,0.734095216,NA,NA,0.308179498,1,NA
,092-03-I,2009,_092-03-I,Yearian Creek,Ramsey Mountain,NA,3.2,12,NA,0.43,1,63,NA,0.734095216,NA,NA,0.308179498,1,NA
,092-03-I,2014,_092-03-I,Yearian Creek,Ramsey Mountain,NA,3.31,11,NA,0.5,0.9,66,NA,0.734095216,NA,NA,0.308179498,1,NA
,092-03-I,2019,_092-03-I,Yearian Creek,Ramsey Mountain,NA,2.99,NA,NA,0.8,1,NA,NA,0.734095216,NA,NA,0.308179498,1,NA
,092-04-I,2004,_092-04-I,Grouse Creek,Poison Gulch,NA,2.52,56,NA,0.83,1,61,NA,0.308179498,0.734095216,NA,1,0.308179498,NA
,092-04-I,2009,_092-04-I,Grouse Creek,Poison Gulch,NA,2.67,37.5,NA,0.62,0.93,61,NA,0.308179498,0.734095216,NA,1,0.308179498,NA
,092-04-I,2014,_092-04-I,Grouse Creek,Poison Gulch,NA,3.28,25,NA,0.83,0.98,60,NA,0.308179498,0.734095216,NA,1,0.308179498,NA
,092-04-I,2019,_092-04-I,Grouse Creek,Poison Gulch,NA,3.19,43,NA,0.73,0.75,NA,NA,0.308179498,0.734095216,NA,1,0.308179498,NA
,092-16-I,2004,_092-16-I,Muleshoe,Lower Warm Springs,NA,3.49,27,NA,0.45,0.9,63,NA,0.308179498,0.734095216,NA,0.47010076,0.734095216,NA
,092-16-I,2009,_092-16-I,Muleshoe,Lower Warm Springs,NA,3.84,22,NA,0.41,0.98,72,NA,0.308179498,0.734095216,NA,0.47010076,0.734095216,NA
,092-16-I,2014,_092-16-I,Muleshoe,Lower Warm Springs,NA,5.48,15.5,NA,0.45,0.93,67,NA,0.308179498,0.734095216,NA,0.47010076,0.734095216,NA
,092-16-I,2019,_092-16-I,Muleshoe,Lower Warm Springs,NA,3.95,24,NA,0.4,0.87,NA,NA,0.308179498,0.734095216,NA,0.47010076,0.734095216,NA
,092-17-IK,2004,_092-17-IK,McDevitt Creek,McDevitt Riparian,NA,3.4,2,NA,0.64,0.76,75,NA,1,1,NA,0.734095216,0.734095216,NA
,092-17-IK,2009,_092-17-IK,McDevitt Creek,McDevitt Riparian,NA,6.02,17,NA,0.85,1,76,NA,1,1,NA,0.734095216,0.734095216,NA
,092-17-IK,2014,_092-17-IK,McDevitt Creek,McDevitt Riparian,NA,4.37,10,NA,0.44,0.89,79,NA,1,1,NA,0.734095216,0.734095216,NA
,092-17-IK,2019,_092-17-IK,McDevitt Creek,McDevitt Riparian,NA,4.05,8.5,NA,0.57,0.91,NA,NA,1,1,NA,0.734095216,0.734095216,NA
BB02,,2009,BB02_,Baldy Basin,Baldy Basin,NA,NA,NA,NA,0.34,0.34,NA,NA,NA,NA,NA,0.734095216,0.734095216,NA
BB02,,2013,BB02_,Baldy Basin,Baldy Basin,0.6,NA,6.13,0.46,0.95,0.95,75,NA,NA,NA,NA,0.734095216,0.734095216,NA
