year,spring.Tmax_C,spring.Tmin_C,spring.PPT_mm,summer.Tmax_C,summer.Tmin_C,summer.PPT_mm,fall.Tmax_C,fall.Tmin_C,fall.PPT_mm,annual.Tmax_C,annual.Tmin_C,annual.PPT_mm,elevation_m,allot_name
2000,14.10293478,0.395978261,95.07,27.91119565,8.85326087,17.85,11.35351648,-1.44978022,131.25,13.51361644,-0.115452055,0.988547945,1464,Badger Springs
2001,13.65641304,-0.113804348,111.3,27.60402174,9.567717391,84.41,15.35461538,1.672527473,93.36,13.81254795,0.152657534,1.044739726,1464,Badger Springs
2002,11.64032609,-1.394021739,93.35,26.55673913,9.157826087,97.23,12.69263736,-0.89967033,42.99,12.87621918,-0.276,0.860575342,1464,Badger Springs
2003,12.9948913,0.26673913,153.77,28.99434783,10.4973913,49.59,13.90186813,0.067802198,51.46,14.28309589,1.004328767,1.179260274,1464,Badger Springs
2004,14.46402174,0.572282609,107.91,25.84684783,8.935434783,101.58,13.19989011,0.24,65.42,13.5349863,0.333671233,1.098438356,1464,Badger Springs
2005,13.53413043,-0.255869565,135.39,26.20217391,8.600543478,82.93,12.71076923,-0.180989011,121.52,13.30241096,-0.29739726,1.139287671,1464,Badger Springs
2006,13.47347826,-0.268586957,105.75,28.03434783,9.987065217,64.88,12.9132967,-0.069230769,135.89,13.78334247,0.260164384,1.202246575,1464,Badger Springs
2007,14.96228261,0.279891304,99.86,28.96619565,10.02869565,36.62,12.47065934,-0.211978022,131.28,14.0870411,0.22860274,1.125041096,1464,Badger Springs
2008,10.65315217,-2.544130435,121.49,26.73815217,8.579130435,40.56,13.94846154,0.397252747,107.07,12.6659726,-0.85660274,1.059452055,1464,Badger Springs
2009,12.18326087,-1.500326087,143.47,25.33684783,9.208369565,136.46,13.77263736,-0.173186813,64,12.70865753,-0.638109589,1.194109589,1464,Badger Springs
2010,11.88402174,-1.48673913,112.12,24.90771739,8.232608696,134.91,13.65846154,0.740769231,131.59,12.76835616,-0.196438356,1.427232877,1464,Badger Springs
2011,10.44923913,-1.355217391,175.43,26.15097826,8.532608696,83.42,14.24054945,0.364065934,89.82,12.58435616,-0.637589041,1.24860274,1464,Badger Springs
2012,14.24847826,-0.102934783,115.49,28.16369565,9.647826087,69.86,14.65472527,0.722197802,86.59,14.63561644,0.666849315,1.037753425,1464,Badger Springs
2013,13.18282609,-0.509782609,73.88,28.79423913,10.50108696,81.04,12.70989011,0.584615385,104.51,13.46750685,0.140958904,0.930273973,1464,Badger Springs
2014,13.37608696,-0.46173913,112.78,26.27934783,9.995217391,110.75,13.84417582,0.812527473,139.78,13.62821918,0.671972603,1.545205479,1464,Badger Springs
2015,14.93869565,0.568152174,120.78,27.83086957,10.4675,47.36,13.81802198,0.946043956,122.11,14.61358904,1.350520548,1.213726027,1464,Badger Springs
2016,14.08141304,1.074021739,130.95,27.74369565,9.296847826,30.25,14.02582418,2.492087912,107.69,13.82446575,0.896849315,1.184191781,1464,Badger Springs
2017,13.37782609,1.258043478,198.92,27.82282609,10.27532609,71.92,12.03362637,0.813846154,159.07,13.00509589,0.713616438,1.610465753,1464,Badger Springs
2018,13.30304348,0.602391304,160,26.7251087,9.71826087,117.62,12.70626374,0.295494505,89.62,13.3890411,0.774630137,1.353123288,1464,Badger Springs
2019,12.07326087,-0.637065217,125.2,26.97369565,9.6375,46.99,11.30912088,-0.633846154,93.5,12.52161644,-0.113232877,1.081205479,1464,Badger Springs
2020,12.56858696,-1.005217391,113.84,26.36369565,9.244347826,132.55,14.38472527,-0.246373626,99.07,13.36016438,-0.34490411,1.376328767,1464,Badger Springs
2000,12.63869565,-0.164021739,101.38,26.59554348,8.876304348,22.36,10.3221978,-1.611538462,147.69,12.52441096,-0.290849315,1.019205479,1704,Baker Creek
2001,12.5275,-0.610978261,125.33,26.08032609,9.350326087,91.35,14.26428571,1.559120879,90.67,12.86923288,-0.023671233,1.044438356,1704,Baker Creek
2002,10.65706522,-2.012065217,120.71,25.3173913,8.80923913,106.49,11.76,-0.97989011,49.42,11.97520548,-0.649726027,0.961534247,1704,Baker Creek
2003,11.81793478,-0.415217391,146.33,27.61380435,10.11902174,43.74,12.96846154,-0.202967033,43.25,13.36734247,0.594328767,1.035671233,1704,Baker Creek
2004,13.22021739,0.089021739,124.94,24.33065217,8.421086957,79.81,11.98351648,-0.216593407,89.95,12.48123288,-0.031643836,1.068164384,1704,Baker Creek
2005,12.12413043,-0.900434783,146.94,24.77467391,8.307826087,91.27,12.04769231,-0.129010989,122.02,12.42520548,-0.456712329,1.170958904,1704,Baker Creek
2006,12.12695652,-0.764673913,127.21,26.56728261,9.80326087,64.78,11.80142857,-0.344505495,148.12,12.75139726,0.009506849,1.218493151,1704,Baker Creek
2007,13.71782609,-0.145108696,107.24,27.54369565,9.913913043,52.54,11.55021978,-0.386153846,143.27,13.08350685,-0.007369863,1.165945205,1704,Baker Creek
2008,9.374782609,-3.202391304,129.61,25.3351087,8.327934783,39.65,13.10208791,0.364725275,104.59,11.69060274,-1.146027397,1.062054795,1704,Baker Creek
2009,10.95934783,-2.041195652,158.74,23.74163043,8.707934783,143.39,12.6232967,-0.330549451,77.88,11.72490411,-0.854849315,1.254849315,1704,Baker Creek
2010,10.43163043,-2.048586957,140.22,23.32282609,7.795326087,144.91,12.66527473,0.454175824,119.8,11.72312329,-0.505863014,1.493835616,1704,Baker Creek
2011,9.00673913,-2.216086957,197.7,24.77293478,8.206413043,78.67,13.25879121,0.107252747,76.57,11.60268493,-0.970465753,1.202794521,1704,Baker Creek
2012,12.85804348,-0.743152174,138.99,26.6951087,9.221847826,50.62,13.74901099,0.571868132,85.24,13.58342466,0.232520548,1.065917808,1704,Baker Creek
2013,11.80945652,-1.392608696,78.89,27.20304348,9.857065217,74.95,11.74857143,0.148351648,115.7,12.46336986,-0.42539726,0.931424658,1704,Baker Creek
2014,12.23228261,-1.207608696,116.33,24.73358696,9.191521739,116.8,12.89681319,0.40021978,134.22,12.66621918,0.085041096,1.486876712,1704,Baker Creek
2015,13.50195652,-0.122826087,134.53,26.13847826,9.874130435,50.96,12.87725275,0.579450549,120.4,13.54986301,0.873315068,1.228821918,1704,Baker Creek
2016,12.65271739,0.211956522,149.12,26.27978261,8.689673913,30.09,13.05318681,1.961208791,121.81,12.8289589,0.306849315,1.265506849,1704,Baker Creek
2017,12.17521739,0.172065217,213.21,26.38695652,9.741956522,67.11,11.17923077,0.221318681,168.5,12.14986301,0.110191781,1.650027397,1704,Baker Creek
2018,12.0451087,-0.269130435,173.73,25.33315217,9.143913043,104.97,11.84626374,-0.327802198,88.63,12.41082192,0.08090411,1.314383562,1704,Baker Creek
2019,10.79119565,-1.259456522,136.74,25.42663043,8.981304348,31.38,10.37263736,-1.25010989,110.78,11.4939726,-0.666109589,1.116520548,1704,Baker Creek
2020,11.30554348,-1.560869565,119.25,25.13652174,8.969891304,133.98,13.77131868,-0.204505495,93.45,12.57978082,-0.562520548,1.346082192,1704,Baker Creek
2000,9.801413043,-2.105652174,120.57,23.72608696,7.58326087,19.5,8.42,-2.661758242,167.37,10.40780822,-1.559260274,1.13369863,2099,Baldy Basin
2001,10.35423913,-2.37826087,156.13,23.45369565,7.761413043,99.24,12.11164835,0.327252747,103.67,11.04432877,-1.365534247,1.191753425,2099,Baldy Basin
2002,8.490326087,-3.824782609,165.04,22.82065217,7.204021739,105.02,9.995494505,-2.011318681,65.82,10.11715068,-2.086438356,1.168821918,2099,Baldy Basin
2003,9.55326087,-2.299347826,185.11,24.97391304,8.593913043,51.15,10.99186813,-1.410989011,61.36,11.43630137,-0.864794521,1.327123288,2099,Baldy Basin
2004,10.84804348,-1.410217391,169.71,21.86456522,6.839565217,97.2,10.14175824,-1.362087912,108.39,10.65271233,-1.287342466,1.357342466,2099,Baldy Basin
2005,9.809021739,-2.68,185.54,22.24815217,6.65826087,108.53,10.48153846,-1.081978022,143.91,10.7450137,-1.67090411,1.417506849,2099,Baldy Basin
2006,9.67076087,-2.553913043,154.34,23.87315217,8.335543478,81.87,9.870989011,-1.454065934,198.66,10.79073973,-1.320767123,1.570136986,2099,Baldy Basin
2007,11.40108696,-1.587391304,129.83,25.02119565,8.655869565,55.79,9.889120879,-1.389010989,169.66,11.21956164,-1.209534247,1.399780822,2099,Baldy Basin
2008,7.24576087,-5.078152174,148.07,22.60608696,6.882065217,55.33,11.38252747,-0.483846154,125.55,9.836849315,-2.475726027,1.287287671,2099,Baldy Basin
2009,8.636304348,-3.698152174,210.68,20.9973913,7.090652174,166.09,10.58736264,-1.341868132,97.38,9.799616438,-2.116219178,1.536383562,2099,Baldy Basin
2010,8.031956522,-3.747065217,180.03,20.65163043,6.237608696,175.03,10.86571429,-0.571098901,125.08,9.850383562,-1.753561644,1.708410959,2099,Baldy Basin
2011,6.665217391,-4.200978261,252.21,22.1325,6.837391304,98.79,11.25054945,-0.827802198,104.37,9.722082192,-2.21939726,1.529917808,2099,Baldy Basin
2012,10.35663043,-2.26,164.49,24.12423913,7.878478261,50.82,11.97813187,-0.285934066,108.96,11.56649315,-1.030876712,1.27660274,2099,Baldy Basin
2013,9.387934783,-3.078586957,95.21,24.35402174,8.538369565,87.97,9.953516484,-0.841318681,152.46,10.56150685,-1.635178082,1.151342466,2099,Baldy Basin
2014,9.991847826,-2.670652174,136.27,21.96717391,7.596630435,127.41,11.03230769,-0.575494505,143.11,10.76358904,-1.129726027,1.673369863,2099,Baldy Basin
2015,11.04032609,-1.513369565,150.22,23.39641304,8.480434783,64.04,11.08241758,-0.302747253,131.91,11.62643836,-0.257890411,1.359534247,2099,Baldy Basin
2016,10.27717391,-1.338695652,187.28,23.5925,7.322173913,40.58,11.09791209,0.928241758,130.03,10.97230137,-0.835315068,1.440027397,2099,Baldy Basin
2017,10.05130435,-1.632717391,222.2,23.83641304,8.501413043,65.53,9.431208791,-0.999340659,183.94,10.4349863,-1.138547945,1.777835616,2099,Baldy Basin
2018,9.825978261,-1.886195652,200.51,22.70434783,7.768586957,115.02,10.16131868,-1.331648352,102.76,10.52956164,-1.209342466,1.496520548,2099,Baldy Basin
2019,8.635869565,-2.728913043,161.2,22.52358696,7.473913043,49.28,8.598241758,-2.317582418,124.36,9.620575342,-1.868739726,1.332986301,2099,Baldy Basin
2020,9.129673913,-3.045108696,133.87,22.40728261,7.681956522,142.74,11.8910989,-0.796593407,94.29,10.7379726,-1.517917808,1.446493151,2099,Baldy Basin
2000,10.24163043,-2.16,112.11,24.28858696,7.203913043,18.34,8.656813187,-2.935934066,150.9,10.79035616,-1.814767123,1.04369863,2045,Big Dry Canyon
2001,10.59586957,-2.547173913,141.7,23.89576087,7.428043478,90.74,12.54142857,0.072417582,97.49,11.38210959,-1.639561644,1.093479452,2045,Big Dry Canyon
2002,8.735108696,-4.023586957,144.47,23.24271739,6.909782609,108.82,10.29373626,-2.353736264,61.74,10.40731507,-2.397315068,1.079972603,2045,Big Dry Canyon
2003,9.836195652,-2.447391304,181.39,25.39956522,8.058478261,50.18,11.35373626,-1.874065934,50.78,11.76128767,-1.288986301,1.229589041,2045,Big Dry Canyon
2004,11.14336957,-1.64326087,153.23,22.22347826,6.533478261,86.93,10.37164835,-1.709230769,103.36,10.90660274,-1.605561644,1.215369863,2045,Big Dry Canyon
2005,9.975108696,-2.767826087,182.15,22.61195652,6.272065217,107.14,10.95857143,-1.362747253,144.81,11.04619178,-1.967232877,1.40369863,2045,Big Dry Canyon
2006,10.00902174,-2.694673913,133.93,24.42554348,7.894347826,75.97,10.25076923,-1.705274725,184.35,11.14284932,-1.624739726,1.370520548,2045,Big Dry Canyon
2007,11.75054348,-1.80923913,113.17,25.55532609,8.184673913,56.66,10.3143956,-1.630769231,162,11.57405479,-1.55109589,1.302410959,2045,Big Dry Canyon
2008,7.395,-5.264021739,137.37,23.15717391,6.376956522,53.24,11.80857143,-0.824615385,118.02,10.13389041,-2.854493151,1.190794521,2045,Big Dry Canyon
2009,8.90326087,-3.917826087,197.26,21.50108696,6.850434783,172.84,10.93901099,-1.692637363,95.19,10.12736986,-2.406109589,1.480684932,2045,Big Dry Canyon
2010,8.362934783,-3.791956522,189.13,21.1925,5.950978261,164.36,11.38010989,-0.909010989,116.34,10.2389589,-2.032465753,1.629835616,2045,Big Dry Canyon
2011,6.906195652,-4.261521739,246.98,22.73913043,6.475,90.26,11.73659341,-1.241428571,107.31,10.06791781,-2.544383562,1.489506849,2045,Big Dry Canyon
2012,10.82065217,-2.424021739,163.52,24.7326087,7.425652174,53.19,12.46406593,-0.768461538,99.21,12.01731507,-1.420821918,1.230739726,2045,Big Dry Canyon
2013,9.821521739,-3.225978261,98.88,24.94728261,8.113043478,81.62,10.38065934,-1.030659341,141.98,10.97032877,-1.929041096,1.121178082,2045,Big Dry Canyon
2014,10.41641304,-2.818586957,132.46,22.58163043,7.26326087,123.15,11.52945055,-0.918901099,133.1,11.21032877,-1.452164384,1.57539726,2045,Big Dry Canyon
2015,11.49630435,-1.684782609,165.05,23.93554348,8.080652174,62.92,11.54208791,-0.691538462,124.63,12.06252055,-0.56430137,1.364410959,2045,Big Dry Canyon
2016,10.61782609,-1.482173913,180.05,24.21586957,6.800869565,33.44,11.61362637,0.745604396,134.98,11.39682192,-1.140630137,1.349643836,2045,Big Dry Canyon
2017,10.44913043,-1.686956522,210.33,24.41282609,7.973152174,64.98,9.832087912,-1.249010989,167.56,10.84736986,-1.41969863,1.673917808,2045,Big Dry Canyon
2018,10.1873913,-2.067717391,197.89,23.28,7.336521739,124.29,10.58978022,-1.785824176,91.72,10.91594521,-1.604958904,1.463041096,2045,Big Dry Canyon
2019,8.904891304,-3.024456522,164.53,23.06836957,7.03826087,52.9,9.010879121,-2.623846154,120.64,9.948876712,-2.260657534,1.325150685,2045,Big Dry Canyon
2020,9.428695652,-3.206630435,132.42,23.02369565,7.315,130.15,12.40527473,-1.273956044,83.61,11.152,-1.888356164,1.335178082,2045,Big Dry Canyon
2000,12.34315217,-1.607934783,75.85,26.91065217,7.209673913,18.3,10.29857143,-2.858021978,106.82,12.62073973,-1.786931507,0.750767123,1788,Big Springs
2001,12.50304348,-2.2775,122.11,26.16304348,7.386195652,62.06,14.55340659,-0.108791209,80.5,13.05158904,-1.876986301,0.872547945,1788,Big Springs
2002,10.56945652,-3.633043478,88.56,25.53695652,6.917173913,83.07,11.9721978,-2.682527473,55.39,12.02323288,-2.574,0.780876712,1788,Big Springs
2003,11.80108696,-2.040978261,149.86,27.89336957,7.690543478,38.21,13.43703297,-2.203076923,21.16,13.62210959,-1.516410959,0.887287671,1788,Big Springs
2004,13.23467391,-1.440869565,111.58,24.5751087,6.725978261,76.48,11.92714286,-1.789450549,84.33,12.5770411,-1.664082192,0.959150685,1788,Big Springs
2005,11.70586957,-2.142934783,139.05,24.85152174,6.288804348,96.11,12.77934066,-1.597802198,103.12,12.66060274,-2.033808219,1.082794521,1788,Big Springs
2006,11.85391304,-2.292065217,111.25,26.92097826,7.68576087,60.4,12.09747253,-1.708241758,152.25,12.87523288,-1.712438356,1.096493151,1788,Big Springs
2007,13.79271739,-1.604130435,74.84,27.90271739,7.931847826,49.53,12.22967033,-1.646813187,113.3,13.39046575,-1.661808219,0.90939726,1788,Big Springs
2008,9.069456522,-5.009347826,103.88,25.80532609,6.033586957,41.4,13.84527473,-1.041538462,84.32,11.9280274,-3.060219178,0.889479452,1788,Big Springs
2009,10.71521739,-3.660543478,157.32,24.00271739,7.067608696,139.12,12.92175824,-1.885824176,64.79,11.94961644,-2.442136986,1.142630137,1788,Big Springs
2010,10.21434783,-3.248586957,154.22,23.67597826,6.004347826,121.68,13.50164835,-1.016483516,79.58,12.03027397,-2.041561644,1.238684932,1788,Big Springs
2011,8.557608696,-3.673478261,200.82,25.32913043,6.336847826,86.46,13.86241758,-1.52989011,80.82,11.84178082,-2.660849315,1.165808219,1788,Big Springs
2012,12.87315217,-2.117934783,136.44,27.28836957,7.15923913,39.07,14.62571429,-1.122857143,63.57,14.02649315,-1.61309589,0.930410959,1788,Big Springs
2013,11.88934783,-2.867065217,79.16,27.55891304,7.84826087,55.26,12.23967033,-0.934835165,111.43,12.8050137,-2.045534247,0.843753425,1788,Big Springs
2014,12.5225,-2.470869565,96.78,25.21021739,7.275869565,99.78,13.6943956,-1.038571429,101.45,13.22676712,-1.495616438,1.217178082,1788,Big Springs
2015,13.70630435,-1.401521739,135.72,26.36097826,7.962282609,77.76,13.45857143,-1.012417582,84.9,13.92780822,-0.67890411,1.138356164,1788,Big Springs
2016,12.54945652,-1.133152174,147.73,26.79869565,6.449021739,21.32,13.65769231,0.820659341,142.89,13.19857534,-1.30490411,1.119315068,1788,Big Springs
