combo_NO,slope
00360_01,0.003082909
00360_02,0.002644996
00360_03,0.002400265
00360_04,-0.000482493
00360_05,0.002466447
00360_06,0.002919498
00360_07,0.003177122
00360_08,0.002410915
00360_09,0.002746257
00360_10,0.001814954
00360_11,0.002909448
00360_12,0.003105791
00360_13,0.002506417
00360_14,0.003474462
00360_15,0.003688136
00360_16,0.003296665
00360_17,0.002070709
00360_18,0.00326696
00431_02,0.002799995
00431_03,0.001682999
00431_04,0.001948372
06101_01,0.002983778
06102_01,0.003137901
06102_02,0.000628648
06102_03,NA
06102_04,0.00694995
06103_01,0.002308276
06103_02,-0.00039002
06103_03,0.006815647
06104_01,0.00210136
06105_01,0.001775735
06105_02,0.00098615
06105_03,0.002323326
06105_04,0.002470095
06106_01,0.000471639
06106_02,-0.00208406
06106_03,0.003884678
06106_04,-0.003130979
06106_05,0.001374592
06106_06,0.004239968
06106_07,0.002636872
06106_08,0.003722055
06108_01,-0.000229561
06109_01,0.001439712
06109_02,0.000543073
06110_02,0.002311756
06110_03,0.001916462
06110_04,0.001655027
06110_05,0.001664932
06112_01,0.000411657
06113_01,0.002253396
06113_02,0.001860698
06113_03,0.002186497
06114_01,0.00145399
06114_02,NA
06114_03,0.001717072
06114_05,0.001191819
06116_01,0.00163409
06116_02,0.001330479
06116_03,0.002391966
06116_04,0.004341438
06116_05,0.002727966
06117_01,0.005498441
06118_01,0.001482003
06118_02,0.000743286
06119_01,0.001448129
06120_01,0.001349226
06120_02,0.002924106
06120_03,9.18236744480452e-06
06120_04,0.000710908
06120_05,0.001106851
06121_01,0.002239389
06122_01,0.001424955
06123_01,0.002249765
06123_02,0.001490839
06123_03,0.001577335
06123_04,0.002029714
06124_01,-0.003865674
06125_01,0.001278328
06126_01,0.00136369
06127_01,0.00208581
06128_01,0.002490641
06128_02,0.00187295
06129_01,0.002308193
06201_01,0.002407316
06201_02,0.001730863
06201_03,0.000442835
06201_04,0.002481113
06201_05,0.002148339
06201_06,-0.000313551
06201_07,-0.002169399
06201_08,0.00219584
06202_01,NA
06202_02,0.002497063
06202_03,0.002380509
06202_04,0.002033066
06202_05,0.001833061
06203_01,0.001420556
06203_03,0.001644942
06203_04,0.002008424
06203_05,0.001603235
06203_06,0.001019023
06203_07,0.003719304
06204_01,0.00254921
06204_02,0.002157056
06204_03,0.001443322
06204_04,0.000417619
06204_05,0.002678752
06204_06,0.001915227
06204_07,0.002358561
06205_01,0.000386579
06205_02,-4.69E-05
06205_03,0.002574955
06205_04,0.002483697
06205_05,0.000387624
06205_06,0.002018807
06205_07,-0.00244043
06205_08,0.000705952
06205_09,0.000634469
06207_01,0.002468464
06207_02,0.004316382
06207_03,0.002792505
06207_04,0.002753499
06208_01,0.002015289
06208_02,0.002816518
06209_01,0.003062114
06209_02,0.002679529
06209_03,0.002137749
06209_04,0.002309851
06209_05,0.001980389
06209_06,0.00299429
06209_07,0.002418185
06209_08,0.002219302
06210_01,0.002494429
06211_01,0.003629847
06211_02,0.002611577
06213_01,0.00308385
06215_01,0.002558005
06217_01,0.003283016
06223_01,0.001116743
06224_01,0.00280544
06224_02,0.002675389
06225_01,0.002017665
06225_02,0.001431534
06226_01,0.002881091
06227_01,0.002976829
06228_01,0.000159644
06228_02,0.002358605
06228_03,0.003387128
06233_01,0.003424177
06233_02,0.003099145
06233_03,-0.000985236
06234_01,-0.000818302
06234_02,0.002832397
06235_01,0.003471956
06235_02,0.000951132
06235_03,-0.000208584
06235_04,0.002727727
06236_02,0.002328491
06236_03,0.002651227
06236_04,0.003258021
06236_05,-0.000168642
06236_06,0.00184193
06236_07,0.000750384
06236_08,0.002662614
06236_09,0.002790176
06238_01,0.001315341
06238_02,0.003062135
06238_03,0.001246576
06239_01,0.000800408
06240_01,0.001280569
06241_02,0.000670802
06243_01,0.003071217
06248_01,0.000400777
06301_01,0.001207552
06301_02,0.002542959
06301_04,0.001942812
06302_02,0.003050825
06303_01,0.001614964
06303_02,0.001352082
06303_03,-0.000457355
06304_01,0.002457262
06304_02,0.002169792
06306_01,0.001660853
06307_01,0.001314715
06307_02,-0.002170657
06307_03,0.001224303
06307_04,0.001380726
06307_06,0.002333604
06307_07,0.002104535
06307_08,0.001949466
06308_01,0.001733154
06308_02,0.001825127
06308_03,0.00113364
06308_04,0.000543689
06309_01,0.001758421
06309_02,0.001041426
06309_03,0.000823667
06310_01,0.001272005
06310_03,0.001435841
06310_04,0.000966926
06311_01,0.001178621
06311_03,0.002193505
06311_04,0.002625964
06311_05,0.002007881
06312_01,0.000648293
06312_02,0.002550716
06313_01,0.001741185
06314_01,0.002519705
06315_01,0.000874723
06316_01,-0.000401631
06317_01,0.001568685
06317_03,0.00311892
06317_04,0.001021507
06317_05,0.000433253
06333_01,-0.001174003
06333_02,0.001636949
14401_01,0.001568304
14402_01,0.002343017
14403_01,-4.10E-05
14405_01,0.001379877
14405_02,0.002560128
14405_03,0.001529577
14405_04,0.003366387
14405_05,0.001384201
14405_06,0.004998118
14405_07,0.001163795
14405_08,-8.96E-06
14406_01,0.001949225
14406_02,0.000882062
14406_03,0.000366548
14406_04,0.001492885
14407_01,0.001595344
14407_02,-0.000259904
14407_03,0.001044017
14409_02,0.000352566
14409_04,-0.000702696
14410_01,0.000729678
14410_05,0.00095672
