Allotment,Pasture,MIM.siteName,PIBO.siteName,Protocol,Year,GGW,bankfull.width,D50,percent.fines,covered.stable,stable,wetland.rating
Baldy Basin,Baldy Basin,BB02,,MIM,2009,,,,,0.34,0.34,
Baldy Basin,Baldy Basin,BB02,,MIM,2013,0.6,,6.13,0.46,0.95,0.95,75
Baldy Basin,Baldy Basin,BB02,,MIM,2018,1.35,3.57,5.42,0.48,0.97,0.97,71
Baldy Basin,Baldy Basin,BB02,,MIM,2022,1.14,,1.4,0.8,0.51,0.53,74
Center Ridge,A,EC06,,MIM,2013,3.14,,2.4,0.59,0.7,0.71,83
Center Ridge,A,EC06,,MIM,2016,3.55,3.66,14.18,0.13,0.79,0.79,76
Center Ridge,A,EC06,,MIM,2019,3.24,,7.09,0.44,0.83,0.84,77
Grouse Creek,Grouse Creek,GC01,,MIM,2014,1.93,,12.79,0.17,0.67,0.67,70
Grouse Creek,Grouse Creek,GC01,,MIM,2017,1.86,2.24,11.59,0.18,0.81,0.81,65
Grouse Creek,Grouse Creek,GC01,,MIM,2020,1.58,2.55,15.81,0.22,0.76,0.8,65
Haynes Creek,Haynes Creek,HC01,092-14-IK,PIBO,2004,,2.62,29,,1,1,62
Haynes Creek,Haynes Creek,HC01,092-14-IK,PIBO,2009,,2.92,28,,0.67,0.93,61
Haynes Creek,Haynes Creek,HC01,092-14-IK,PIBO,2014,,2.79,29,,0.5,1,63
Haynes Creek,Haynes Creek,HC01,092-14-IK,MIM,2017,3.02,3.31,23.39,0.08,0.67,0.67,63
Haynes Creek,Haynes Creek,HC01,092-14-IK,PIBO,2019,,3.61,34.5,,0.25,0.59,
Haynes Creek,Haynes Creek,HC01,092-14-IK,MIM,2020,3.78,,12.1,0.1,0.62,0.64,64
Kenney Creek,Kenney Creek Riparian,KC01,092-13-IKS,PIBO,2001,,9.49,31,,0.55,0.98,
Kenney Creek,Kenney Creek Riparian,KC01,092-13-IKS,PIBO,2003,,9.75,36,,0.38,0.78,43
Kenney Creek,Kenney Creek Riparian,KC01,092-13-IKS,PIBO,2004,,6.58,42,,0.48,0.9,53
Kenney Creek,Kenney Creek Riparian,KC01,092-13-IKS,PIBO,2006,,7.37,41,,0.55,0.93,45
Kenney Creek,Kenney Creek Riparian,KC01,092-13-IKS,PIBO,2007,,5.93,51,,0.83,0.95,
Kenney Creek,Kenney Creek Riparian,KC01,092-13-IKS,PIBO,2008,,5.61,29,,0.6,0.93,46
Kenney Creek,Kenney Creek Riparian,KC01,092-13-IKS,PIBO,2009,,9.36,29,,0.47,0.92,45
